کد_داخلی,کد_کالا,نام_کالا,فعال,موجودی,قیمت_واحد,ارزش_کل
1407,,تل عینگ,TRUE,9,1350000,12150000
1234,,بارونب بلند کتان رنگبندی سفاررش:,TRUE,2,14700000,29400000
1228,,شلوار واید اسییت آرب روشن,TRUE,3,6900000,20700000
1072,,شوم نی لیننن یک و دو تک رنگ 0701,TRUE,2,6800000,13600000
1381,,کت لیننن پولیک,TRUE,1,14600000,14600000
1474,,شلوار ج نن بگ سایز بزرگ,TRUE,13,21900000,284700000
1294,,ست بلوز و شلوار میله ای سایز بندی چهار رنگ,TRUE,10,18900000,189000000
1439,,جوراب پای نیه ساق بلند طرح داره,TRUE,22,880000,19360000
1176,,شلوار لیننن نچرال یک و دو چند رنگ 5711,TRUE,2,7650000,15300000
1259,,کراپ بارونب زارا و ج نن,TRUE,-1,8450000,-8450000
1250,,بلوز کریییت یقه سه سانت چند رنگ,TRUE,14,4900000,68600000
1398,,جوراب کالج کریییت,TRUE,9,690000,6210000
