کد_داخلی,کد_کالا,نام_کالا,فعال,موجودی,قیمت_خرید_تومان
1156,,شلوار لینن شانتون یک و دو چند رنگ 1111,بله,0,4900000
1260,,بارونب بلند تییس آسییدار کرم و مشگ,بله,1,15900000
1291,,دورس نیم زیپ طرح دار,بله,1,8700000
1372,,شال مشگ برشکا دور گیپور,بله,1,3850000
1277,,لگ کرپ ساده,بله,4,3500000
1447,,کت فوتر طوش,بله,1,19700000
1349,,کت سرنی گل برجسته,بله,0,19790000
1189,,کت سوزندوزی یک و دو مشگ 0111,بله,0,13500000
1127,,شومیز ندارد یک و دو چند رنگ 6011,بله,2,6700000
1255,,مانتو پشیم پیچازی,بله,0,6950000
1320,,گپ مرواریدی,بله,2,7650000
1198,,شال لیچینند رنگ,بله,0,3900000
1387,,وست سوزندوزی,بله,0,12700000
1217,,دامن کرپ چند رنگ,بله,0,8700000
1299,,کمربند سه سانت شلوار,بله,17,2350000
1373,,شال مشگ شاین لبه فر,بله,4,4350000
1459,,کراپ تاپ خشیت بلند کرپ,بله,9,4800000
1378,,ست شومیز و شلوار باتیک,بله,1,13900000
1379,,کت گل رسخ,بله,2,14900000
1321,,گپ چپ و راست,بله,2,7900000
1233,,بارونب سانتانا کاله دار پنج رنگ,بله,0,22700000
1249,,دورس کرپ کرم و مشگ,بله,1,5800000
1484,,شومیز واردایب مجلیس,بله,6,11900000
1076,,مانتو ژاکارد یک و دو چند رنگ 3301,بله,2,13900000
1397,,جوراب نایک صوریب,بله,5,670000
1309,,پالتو فوتر چری,بله,3,11700000
1187,,وست باتیک هندی یک و دو چند رنگ 8011,بله,3,6500000
1307,,جوراب تک رنگ,بله,22,670000
1223,,وست جین,بله,1,6700000
1253,,دامن پشیم پییل,بله,0,7900000
1203,,کیف چند رنگ,بله,0,2900000
1429,,شومیز نخ طرح دار,بله,2,6450000
1453,,شومیز پاپیونب,بله,0,8700000
1336,,شلوار بهاره,بله,1,4870000
1358,,شلوار زبرا,بله,1,6750000
1231,,دورس کوتاه سفید,بله,2,2900000
1324,,شلوار جین شافل بگ,بله,4,19500000
1405,,شومیز نخ بابوس,بله,1,6850000
1167,,شلوار پلیسه یک و دو چند رنگ 1111,بله,0,7650000
1421,,شومیز لینن پنبه,بله,5,7650000
1163,,شلوار کرپ ال نیه یک و دو تک رنگ 1111,بله,2,7900000
1418,,تیشرت باکیس ساده,بله,2,3870000
1438,,جوراب پای نیه ساق بلند گل برجسته,بله,14,950000
1270,,شلوار بافت ریز رنگبندی,بله,1,3950000
1480,,کراپ تاپ ساده بیسیک کوتاه,بله,4,4700000
1226,,شلوار بوت کات عرب ت یه,بله,2,6900000
1274,,کاله بافت ریز لئونب,بله,2,2700000
1354,,شلوار لینن کرم و سفید,بله,0,5600000
1432,,بافت راه راه ریز,بله,0,5600000
1210,,کیف چند رنگ,بله,0,5600000
1310,,کراپ کت پیچازی,بله,1,6980000
1368,,شومیز کتان رنگبندی سایزبندی,بله,9,6900000
1208,,کیف چند رنگ,بله,0,5750000
